year,value,source,notes
2000,39344776,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,40188805,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,47005970,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,47720149,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,52784328,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,52200000,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,50836567,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,52849253,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,51745522,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,46161940,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,49745472,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,48609391,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,50631333,CEPALStat: 733,"CEPALStat: 6432,6495"
