year,value,source,notes
2000,20478235,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,20975177,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,20971125,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,21147035,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,23147963,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,25988753,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,28286988,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,31532658,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,33979620,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,31610328,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,31355488,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,31450324,CEPALStat: 733,"CEPALStat: 6495,6432"
2012,31676601,CEPALStat: 733,"CEPALStat: 6432,6495"
