year,value,source,notes
1990,1111949933,CEPALStat: 733,"CEPALStat: 6495,6432"
1991,1145994110,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,1302282783,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,1414085044,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,1456812770,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,1503995836,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,1674906738,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,1970064706,CEPALStat: 733,"CEPALStat: 6495,6432"
1998,2155882576,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,2297230783,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,2412148433,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,2465612525,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,2472932014,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,2295421848,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,2326776729,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,2528925266,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,2629940912,CEPALStat: 733,"CEPALStat: 6495,6432"
2007,2808070806,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,2926522580,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,2939804856,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,3125605976,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,3259115462,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,3370900974,CEPALStat: 733,"CEPALStat: 6495,6432"
