year,value,source,notes
2002,585044548,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,614594212,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,619970697,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,611961726,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,638433648,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,633442256,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,595596508,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,547676134,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,524656108,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,510582797,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,496646147,CEPALStat: 733,"CEPALStat: 6432,6495"
