year,value,source,note
1990,36930198,Economic Commission for Latin America and the Caribbean,
1991,40157243,Economic Commission for Latin America and the Caribbean,
1992,47548446,Economic Commission for Latin America and the Caribbean,
1993,50268738,Economic Commission for Latin America and the Caribbean,
1994,55652650,Economic Commission for Latin America and the Caribbean,
1995,54575868,Economic Commission for Latin America and the Caribbean,
1996,57012797,Economic Commission for Latin America and the Caribbean,
1997,60299817,Economic Commission for Latin America and the Caribbean,
1998,63473491,Economic Commission for Latin America and the Caribbean,
1999,71010968,Economic Commission for Latin America and the Caribbean,
2000,80305301,Economic Commission for Latin America and the Caribbean,
2001,89826325,Economic Commission for Latin America and the Caribbean,
2002,99970749,Economic Commission for Latin America and the Caribbean,
2003,108528336,Economic Commission for Latin America and the Caribbean,
2004,113968921,Economic Commission for Latin America and the Caribbean,
2005,124000000,Economic Commission for Latin America and the Caribbean,
2006,128307129,Economic Commission for Latin America and the Caribbean,
2007,146329067,Economic Commission for Latin America and the Caribbean,
2008,140605118,Economic Commission for Latin America and the Caribbean,
2009,138848263,Economic Commission for Latin America and the Caribbean,
2010,145464731,Economic Commission for Latin America and the Caribbean,
2011,147464574,Economic Commission for Latin America and the Caribbean,
2012,154963549,Economic Commission for Latin America and the Caribbean,
