year,value,source,note
1990,25199128,Economic Commission for Latin America and the Caribbean,
1991,26673993,Economic Commission for Latin America and the Caribbean,
1992,28827297,Economic Commission for Latin America and the Caribbean,
1993,29421457,Economic Commission for Latin America and the Caribbean,
1994,30382226,Economic Commission for Latin America and the Caribbean,
1995,33310888,Economic Commission for Latin America and the Caribbean,
1996,34768897,Economic Commission for Latin America and the Caribbean,
1997,36867420,Economic Commission for Latin America and the Caribbean,
1998,39568531,Economic Commission for Latin America and the Caribbean,
1999,42438197,Economic Commission for Latin America and the Caribbean,
2000,41228808,Economic Commission for Latin America and the Caribbean,
2001,40817925,Economic Commission for Latin America and the Caribbean,
2002,37679017,Economic Commission for Latin America and the Caribbean,
2003,37509720,Economic Commission for Latin America and the Caribbean,
2004,40267099,Economic Commission for Latin America and the Caribbean,
2005,44379198,Economic Commission for Latin America and the Caribbean,
2006,47914478,Economic Commission for Latin America and the Caribbean,
2007,51910736,Economic Commission for Latin America and the Caribbean,
2008,55915807,Economic Commission for Latin America and the Caribbean,
2009,52482031,Economic Commission for Latin America and the Caribbean,
2010,52012705,Economic Commission for Latin America and the Caribbean,
2011,52218487,Economic Commission for Latin America and the Caribbean,
2012,52544251,Economic Commission for Latin America and the Caribbean,
