year,value,source,notes
1990,35845842,Economic Commission for Latin America and the Caribbean,
1991,39616144,Economic Commission for Latin America and the Caribbean,
1992,40839348,Economic Commission for Latin America and the Caribbean,
1993,41697083,Economic Commission for Latin America and the Caribbean,
1994,44359789,Economic Commission for Latin America and the Caribbean,
1995,46619733,Economic Commission for Latin America and the Caribbean,
1996,49312273,Economic Commission for Latin America and the Caribbean,
1997,53664343,Economic Commission for Latin America and the Caribbean,
1998,60891688,Economic Commission for Latin America and the Caribbean,
1999,65635333,Economic Commission for Latin America and the Caribbean,
2000,72180220,Economic Commission for Latin America and the Caribbean,
2001,69282592,Economic Commission for Latin America and the Caribbean,
2002,69317076,Economic Commission for Latin America and the Caribbean,
2003,80479503,Economic Commission for Latin America and the Caribbean,
2004,83455358,Economic Commission for Latin America and the Caribbean,
2005,96847608,Economic Commission for Latin America and the Caribbean,
2006,83398298,Economic Commission for Latin America and the Caribbean,
2007,93469409,Economic Commission for Latin America and the Caribbean,
2008,91616880,Economic Commission for Latin America and the Caribbean,
2009,82683295,Economic Commission for Latin America and the Caribbean,
2010,79441530,Economic Commission for Latin America and the Caribbean,
2011,76915797,Economic Commission for Latin America and the Caribbean,
2012,74476970,Economic Commission for Latin America and the Caribbean,
