year,value,source,note
1990,67955602,Economic Commission for Latin America and the Caribbean,
1991,67955602,Economic Commission for Latin America and the Caribbean,
1992,70064569,Economic Commission for Latin America and the Caribbean,
1993,74282503,Economic Commission for Latin America and the Caribbean,
1994,80609404,Economic Commission for Latin America and the Caribbean,
1995,87873624,Economic Commission for Latin America and the Caribbean,
1996,97481140,Economic Commission for Latin America and the Caribbean,
1997,106151337,Economic Commission for Latin America and the Caribbean,
1998,102870722,Economic Commission for Latin America and the Caribbean,
1999,104979689,Economic Commission for Latin America and the Caribbean,
2000,112478238,Economic Commission for Latin America and the Caribbean,
2001,118570809,Economic Commission for Latin America and the Caribbean,
2002,123960392,Economic Commission for Latin America and the Caribbean,
2003,130052963,Economic Commission for Latin America and the Caribbean,
2004,134739556,Economic Commission for Latin America and the Caribbean,
2005,147393358,Economic Commission for Latin America and the Caribbean,
2006,162156127,Economic Commission for Latin America and the Caribbean,
2007,188590711,Economic Commission for Latin America and the Caribbean,
2008,203049301,Economic Commission for Latin America and the Caribbean,
2009,205599122,Economic Commission for Latin America and the Caribbean,
2010,219870436,Economic Commission for Latin America and the Caribbean,
2011,237642352,Economic Commission for Latin America and the Caribbean,
2012,266660371,Economic Commission for Latin America and the Caribbean,
