year,value,source,notes
1990,53119430,Economic Commission for Latin America and the Caribbean,
1991,54689115,Economic Commission for Latin America and the Caribbean,
1992,54157897,Economic Commission for Latin America and the Caribbean,
1993,58406203,Economic Commission for Latin America and the Caribbean,
1994,58155014,Economic Commission for Latin America and the Caribbean,
1995,64382264,Economic Commission for Latin America and the Caribbean,
1996,71375485,Economic Commission for Latin America and the Caribbean,
1997,76157022,Economic Commission for Latin America and the Caribbean,
1998,80402675,Economic Commission for Latin America and the Caribbean,
1999,81886998,Economic Commission for Latin America and the Caribbean,
2000,102288802,Economic Commission for Latin America and the Caribbean,
2001,131766843,Economic Commission for Latin America and the Caribbean,
2002,147979766,Economic Commission for Latin America and the Caribbean,
2003,152422107,Economic Commission for Latin America and the Caribbean,
2004,164192688,Economic Commission for Latin America and the Caribbean,
2005,177163026,Economic Commission for Latin America and the Caribbean,
2006,174510003,Economic Commission for Latin America and the Caribbean,
2007,180351342,Economic Commission for Latin America and the Caribbean,
2008,214304125,Economic Commission for Latin America and the Caribbean,
2009,214669209,Economic Commission for Latin America and the Caribbean,
2010,222335966,Economic Commission for Latin America and the Caribbean,
2011,239129816,Economic Commission for Latin America and the Caribbean,
2012,257191316,Economic Commission for Latin America and the Caribbean,
