year,value,source,notes
1990,74738242,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,78881725,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,76709938,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,84744257,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,92359815,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,89486479,CEPALStat: 733,"CEPALStat: 6495,6432"
1996,95664620,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,104460755,CEPALStat: 733,"CEPALStat: 6495,6432"
1998,109673574,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,121139347,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,123203895,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,110950678,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,105059389,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,118135720,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,126900686,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,129487143,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,137126530,CEPALStat: 733,"CEPALStat: 6495,6432"
2007,142318685,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,141760238,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,121366555,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,112416568,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,112621372,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,112680451,CEPALStat: 733,"CEPALStat: 6432,6495"
