year,value,source,notes
1990,472876022,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,414713375,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,409839826,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,421886783,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,427861964,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,451676142,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,522756910,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,544124254,CEPALStat: 733,"CEPALStat: 6495,6432"
1998,562462526,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,550724431,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,632884779,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,591552818,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,636574135,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,643796930,CEPALStat: 733,"CEPALStat: 6495,6432"
2004,666745318,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,701928000,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,721133302,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,640149714,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,592800162,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,618617230,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,567826948,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,604263294,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,663408884,CEPALStat: 733,"CEPALStat: 6432,6495"
