year,value,source,notes
1990,-1386104256,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,-1733048413,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,-2089428290,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,1774157255,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,1714639638,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,1810690426,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,1967952422,CEPALStat: 733,"CEPALStat: 6495,6432"
1997,2029367804,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,-1948113191,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,-1535785810,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,-1398034924,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,-1154108291,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,-1054756476,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,-974717428,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,-825957666,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,-541767296,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,-198410914,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,63789976,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,353402251,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,467674187,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,590042313,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,767464530,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,911461048,CEPALStat: 733,"CEPALStat: 6432,6495"
