year,value,source,notes
1990,25199128,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,26673993,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,28827297,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,29421457,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,30382226,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,33310888,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,34768897,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,36867420,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,39568531,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,42438197,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,41228808,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,40817925,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,37679017,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,37509720,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,40267099,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,44379198,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,47914478,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,51910736,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,55915807,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,52482031,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,52012705,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,52218487,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,52544251,CEPALStat: 733,"CEPALStat: 6432,6495"
