year,value,source,notes
1990,663229016,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,707002986,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,788751008,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,877925333,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,939148291,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,1032006413,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,1122024636,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,1242547933,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,1431507680,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,1638049857,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,1794816735,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,2150376605,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,2474712253,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,2615599173,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,2786793035,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,3314317283,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,3905882374,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,4395416540,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,5078041884,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,5615568157,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,6056721289,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,6036445725,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,6233646319,CEPALStat: 733,"CEPALStat: 6432,6495"
