year,value,source,notes
1990,91928187,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,92244665,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,94109007,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,101198111,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,116089833,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,116711281,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,121573532,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,122350341,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,125785564,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,132874668,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,135159063,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,147949203,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,142623293,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,149932247,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,163788678,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,160613587,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,153275980,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,175247141,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,179182015,CEPALStat: 733,"CEPALStat: 6495,6432"
2009,180478973,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,182342787,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,174759432,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,168764808,CEPALStat: 733,"CEPALStat: 6432,6495"
