year,value,source,notes
1990,53119430,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,54689115,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,54157897,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,58406203,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,58155014,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,64382264,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,71375485,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,76157022,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,80402675,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,81886998,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,102288802,CEPALStat: 733,"CEPALStat: 6495,6432"
2001,131766843,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,147979766,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,152422107,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,164192688,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,177163026,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,174510003,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,180351342,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,214304125,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,214669209,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,222335966,CEPALStat: 733,"CEPALStat: 6495,6432"
2011,239129816,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,257191316,CEPALStat: 733,"CEPALStat: 6432,6495"
