year,value,source,notes
1990,27827882,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,29810240,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,30109690,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,30208509,CEPALStat: 733,"CEPALStat: 6495,6432"
1994,30711584,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,32322625,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,34331934,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,36904209,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,39362693,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,43414251,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,45447516,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,45637746,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,55982715,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,67686393,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,71216895,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,72458782,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,79951895,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,78552032,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,79600175,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,78218550,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,76984602,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,76739721,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,77299578,CEPALStat: 733,"CEPALStat: 6432,6495"
