year,value,source,notes
1990,5046835122,Economic Commission for Latin America and the Caribbean,
1991,4862381139,Economic Commission for Latin America and the Caribbean,
1992,4642246152,Economic Commission for Latin America and the Caribbean,
1993,4831351455,Economic Commission for Latin America and the Caribbean,
1994,5008247387,Economic Commission for Latin America and the Caribbean,
1995,5135203297,Economic Commission for Latin America and the Caribbean,
1996,5240349156,Economic Commission for Latin America and the Caribbean,
1997,5633566812,Economic Commission for Latin America and the Caribbean,
1998,5885932969,Economic Commission for Latin America and the Caribbean,
1999,6303854912,Economic Commission for Latin America and the Caribbean,
2000,6550747929,Economic Commission for Latin America and the Caribbean,
2001,6704509781,Economic Commission for Latin America and the Caribbean,
2002,6934551059,Economic Commission for Latin America and the Caribbean,
2003,6835912632,Economic Commission for Latin America and the Caribbean,
2004,6922690809,Economic Commission for Latin America and the Caribbean,
2005,7190408000,Economic Commission for Latin America and the Caribbean,
2006,7310319323,Economic Commission for Latin America and the Caribbean,
2007,7412393440,Economic Commission for Latin America and the Caribbean,
2008,7229088227,Economic Commission for Latin America and the Caribbean,
2009,6966005220,Economic Commission for Latin America and the Caribbean,
2010,7071301903,Economic Commission for Latin America and the Caribbean,
2011,7182728609,Economic Commission for Latin America and the Caribbean,
2012,7330066764,Economic Commission for Latin America and the Caribbean,
