year,value,source,note
1990,38811587075,Economic Commission for Latin America and the Caribbean,
1991,34539006217,Economic Commission for Latin America and the Caribbean,
1992,30416297790,Economic Commission for Latin America and the Caribbean,
1993,25671271927,Economic Commission for Latin America and the Caribbean,
1994,25631306640,Economic Commission for Latin America and the Caribbean,
1995,26113715289,Economic Commission for Latin America and the Caribbean,
1996,28229481626,Economic Commission for Latin America and the Caribbean,
1997,29028473637,Economic Commission for Latin America and the Caribbean,
1998,29092156255,Economic Commission for Latin America and the Caribbean,
1999,30875993322,Economic Commission for Latin America and the Caribbean,
2000,32702867738,Economic Commission for Latin America and the Caribbean,
2001,33801490879,Economic Commission for Latin America and the Caribbean,
2002,34273870168,Economic Commission for Latin America and the Caribbean,
2003,35600269404,Economic Commission for Latin America and the Caribbean,
2004,37682710588,Economic Commission for Latin America and the Caribbean,
2005,42149900000,Economic Commission for Latin America and the Caribbean,
2006,47154357777,Economic Commission for Latin America and the Caribbean,
2007,50753052466,Economic Commission for Latin America and the Caribbean,
2008,52881797199,Economic Commission for Latin America and the Caribbean,
2009,53995378690,Economic Commission for Latin America and the Caribbean,
2010,55355092970,Economic Commission for Latin America and the Caribbean,
2011,56731643237,Economic Commission for Latin America and the Caribbean,
2012,58412651756,Economic Commission for Latin America and the Caribbean,
