year,value,source,note
1990,234745177,Economic Commission for Latin America and the Caribbean,
1991,242000684,Economic Commission for Latin America and the Caribbean,
1992,247327139,Economic Commission for Latin America and the Caribbean,
1993,251379645,Economic Commission for Latin America and the Caribbean,
1994,256223071,Economic Commission for Latin America and the Caribbean,
1995,259654756,Economic Commission for Latin America and the Caribbean,
1996,266871441,Economic Commission for Latin America and the Caribbean,
1997,271270943,Economic Commission for Latin America and the Caribbean,
1998,281172116,Economic Commission for Latin America and the Caribbean,
1999,285205675,Economic Commission for Latin America and the Caribbean,
2000,289830424,Economic Commission for Latin America and the Caribbean,
2001,291980153,Economic Commission for Latin America and the Caribbean,
2002,285148238,Economic Commission for Latin America and the Caribbean,
2003,302686778,Economic Commission for Latin America and the Caribbean,
2004,305117212,Economic Commission for Latin America and the Caribbean,
2005,299856181,Economic Commission for Latin America and the Caribbean,
2006,310709175,Economic Commission for Latin America and the Caribbean,
2007,322828176,Economic Commission for Latin America and the Caribbean,
2008,348428389,Economic Commission for Latin America and the Caribbean,
2009,345873888,Economic Commission for Latin America and the Caribbean,
2010,348249411,Economic Commission for Latin America and the Caribbean,
2011,354434663,Economic Commission for Latin America and the Caribbean,
2012,353821004,Economic Commission for Latin America and the Caribbean,
