year,value,source,notes
1990,15655313273,Economic Commission for Latin America and the Caribbean,
1991,15810498868,Economic Commission for Latin America and the Caribbean,
1992,17331247808,Economic Commission for Latin America and the Caribbean,
1993,18458638745,Economic Commission for Latin America and the Caribbean,
1994,18951898460,Economic Commission for Latin America and the Caribbean,
1995,19967855422,Economic Commission for Latin America and the Caribbean,
1996,21236781193,Economic Commission for Latin America and the Caribbean,
1997,22757233371,Economic Commission for Latin America and the Caribbean,
1998,23908690089,Economic Commission for Latin America and the Caribbean,
1999,25524323349,Economic Commission for Latin America and the Caribbean,
2000,26485486053,Economic Commission for Latin America and the Caribbean,
2001,27141678445,Economic Commission for Latin America and the Caribbean,
2002,28636046088,Economic Commission for Latin America and the Caribbean,
2003,28950523809,Economic Commission for Latin America and the Caribbean,
2004,29124294477,Economic Commission for Latin America and the Caribbean,
2005,30922688379,Economic Commission for Latin America and the Caribbean,
2006,33574565302,Economic Commission for Latin America and the Caribbean,
2007,35618862877,Economic Commission for Latin America and the Caribbean,
2008,37108381215,Economic Commission for Latin America and the Caribbean,
2009,38046121200,Economic Commission for Latin America and the Caribbean,
2010,40760895431,Economic Commission for Latin America and the Caribbean,
2011,42358771675,Economic Commission for Latin America and the Caribbean,
2012,43731663472,Economic Commission for Latin America and the Caribbean,
