year,value,source,note
1990,314112653,Economic Commission for Latin America and the Caribbean,
1991,323360157,Economic Commission for Latin America and the Caribbean,
1992,324864607,Economic Commission for Latin America and the Caribbean,
1993,322212069,Economic Commission for Latin America and the Caribbean,
1994,330832177,Economic Commission for Latin America and the Caribbean,
1995,341232791,Economic Commission for Latin America and the Caribbean,
1996,350147644,Economic Commission for Latin America and the Caribbean,
1997,364152941,Economic Commission for Latin America and the Caribbean,
1998,393263120,Economic Commission for Latin America and the Caribbean,
1999,422841131,Economic Commission for Latin America and the Caribbean,
2000,481677987,Economic Commission for Latin America and the Caribbean,
2001,476377796,Economic Commission for Latin America and the Caribbean,
2002,492359721,Economic Commission for Latin America and the Caribbean,
2003,534484985,Economic Commission for Latin America and the Caribbean,
2004,535394583,Economic Commission for Latin America and the Caribbean,
2005,600211839,Economic Commission for Latin America and the Caribbean,
2006,575406364,Economic Commission for Latin America and the Caribbean,
2007,611956426,Economic Commission for Latin America and the Caribbean,
2008,623101195,Economic Commission for Latin America and the Caribbean,
2009,588621579,Economic Commission for Latin America and the Caribbean,
2010,576748584,Economic Commission for Latin America and the Caribbean,
2011,577903283,Economic Commission for Latin America and the Caribbean,
2012,571183135,Economic Commission for Latin America and the Caribbean,
