year,value,source,notes
1990,8054326364,Economic Commission for Latin America and the Caribbean,
1991,8155060711,Economic Commission for Latin America and the Caribbean,
1992,8429258802,Economic Commission for Latin America and the Caribbean,
1993,8618543575,Economic Commission for Latin America and the Caribbean,
1994,8928009843,Economic Commission for Latin America and the Caribbean,
1995,9164118818,Economic Commission for Latin America and the Caribbean,
1996,9219573574,Economic Commission for Latin America and the Caribbean,
1997,9037500275,Economic Commission for Latin America and the Caribbean,
1998,8925139498,Economic Commission for Latin America and the Caribbean,
1999,9031822267,Economic Commission for Latin America and the Caribbean,
2000,9069727106,Economic Commission for Latin America and the Caribbean,
2001,9198516023,Economic Commission for Latin America and the Caribbean,
2002,9275877828,Economic Commission for Latin America and the Caribbean,
2003,9622464558,Economic Commission for Latin America and the Caribbean,
2004,9734884232,Economic Commission for Latin America and the Caribbean,
2005,9816972192,Economic Commission for Latin America and the Caribbean,
2006,10120194923,Economic Commission for Latin America and the Caribbean,
2007,10255364662,Economic Commission for Latin America and the Caribbean,
2008,10168135697,Economic Commission for Latin America and the Caribbean,
2009,9855741209,Economic Commission for Latin America and the Caribbean,
2010,9712163350,Economic Commission for Latin America and the Caribbean,
2011,9855103183,Economic Commission for Latin America and the Caribbean,
2012,9811001939,Economic Commission for Latin America and the Caribbean,
