year,value,source,notes
1990,247644248,Economic Commission for Latin America and the Caribbean,
1991,252408611,Economic Commission for Latin America and the Caribbean,
1992,263218392,Economic Commission for Latin America and the Caribbean,
1993,279749509,Economic Commission for Latin America and the Caribbean,
1994,297064087,Economic Commission for Latin America and the Caribbean,
1995,312838599,Economic Commission for Latin America and the Caribbean,
1996,331910994,Economic Commission for Latin America and the Caribbean,
1997,356227424,Economic Commission for Latin America and the Caribbean,
1998,360706928,Economic Commission for Latin America and the Caribbean,
1999,377072652,Economic Commission for Latin America and the Caribbean,
2000,410329871,Economic Commission for Latin America and the Caribbean,
2001,430648948,Economic Commission for Latin America and the Caribbean,
2002,436828879,Economic Commission for Latin America and the Caribbean,
2003,417099786,Economic Commission for Latin America and the Caribbean,
2004,432658064,Economic Commission for Latin America and the Caribbean,
2005,469996541,Economic Commission for Latin America and the Caribbean,
2006,493266210,Economic Commission for Latin America and the Caribbean,
2007,516941528,Economic Commission for Latin America and the Caribbean,
2008,533760365,Economic Commission for Latin America and the Caribbean,
2009,514295427,Economic Commission for Latin America and the Caribbean,
2010,494132918,Economic Commission for Latin America and the Caribbean,
2011,484951074,Economic Commission for Latin America and the Caribbean,
2012,480554806,Economic Commission for Latin America and the Caribbean,
