year,value,source,note
1990,562576762,Economic Commission for Latin America and the Caribbean,
1991,566138456,Economic Commission for Latin America and the Caribbean,
1992,608974066,Economic Commission for Latin America and the Caribbean,
1993,618644975,Economic Commission for Latin America and the Caribbean,
1994,633542897,Economic Commission for Latin America and the Caribbean,
1995,645889975,Economic Commission for Latin America and the Caribbean,
1996,655952130,Economic Commission for Latin America and the Caribbean,
1997,696539033,Economic Commission for Latin America and the Caribbean,
1998,725546158,Economic Commission for Latin America and the Caribbean,
1999,755777227,Economic Commission for Latin America and the Caribbean,
2000,758230823,Economic Commission for Latin America and the Caribbean,
2001,736478155,Economic Commission for Latin America and the Caribbean,
2002,724663062,Economic Commission for Latin America and the Caribbean,
2003,756364112,Economic Commission for Latin America and the Caribbean,
2004,806950647,Economic Commission for Latin America and the Caribbean,
2005,798262507,Economic Commission for Latin America and the Caribbean,
2006,864983292,Economic Commission for Latin America and the Caribbean,
2007,881702282,Economic Commission for Latin America and the Caribbean,
2008,921019038,Economic Commission for Latin America and the Caribbean,
2009,916947330,Economic Commission for Latin America and the Caribbean,
2010,918679197,Economic Commission for Latin America and the Caribbean,
2011,932113074,Economic Commission for Latin America and the Caribbean,
2012,930505994,Economic Commission for Latin America and the Caribbean,
