year,value,source,notes
1990,5046835122,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,4862381139,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,4642246152,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,4831351455,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,5008247387,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,5135203297,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,5240349156,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,5633566812,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,5885932969,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,6303854912,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,6550747929,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,6704509781,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,6934551059,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,6835912632,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,6922690809,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,7190408000,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,7310319323,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,7412393440,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,7229088227,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,6966005220,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,7071301903,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,7182728609,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,7330066764,CEPALStat: 733,"CEPALStat: 6432,6495"
