year,value,source,notes
1990,477048889,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,489956555,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,528437880,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,562820603,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,567069448,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,567812606,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,577478442,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,596474205,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,616453159,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,666346042,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,752393146,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,782358941,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,819704453,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,886823227,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,929449829,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,963650000,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,1006338951,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,1017432597,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,1053565426,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,1088950445,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,1113249833,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,1123176829,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,1159200401,CEPALStat: 733,"CEPALStat: 6432,6495"
