year,value,source,notes
1990,-1390565805,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,-1491754345,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,-1667214864,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,-1635242872,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,-1546350620,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,-1487919499,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,-1395380522,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,-1265786892,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,-1174248207,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,-1168043575,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,-1108934981,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,-1186710359,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,-1163781155,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,-1130319752,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,-1058009093,CEPALStat: 733,"CEPALStat: 6495,6432"
2005,-927717296,CEPALStat: 733,"CEPALStat: 6495,6432"
2006,-739528564,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,-660610367,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,-630696954,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,-738921645,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,-705719777,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,-674937422,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,-644424967,CEPALStat: 733,"CEPALStat: 6432,6495"
