year,value,source,notes
1990,38811587075,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,34539006217,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,30416297790,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,25671271927,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,25631306640,CEPALStat: 733,"CEPALStat: 6495,6432"
1995,26113715289,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,28229481626,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,29028473637,CEPALStat: 733,"CEPALStat: 6495,6432"
1998,29092156255,CEPALStat: 733,"CEPALStat: 6495,6432"
1999,30875993322,CEPALStat: 733,"CEPALStat: 6495,6432"
2000,32702867738,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,33801490879,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,34273870168,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,35600269404,CEPALStat: 733,"CEPALStat: 6495,6432"
2004,37682710588,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,42149900000,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,47154357777,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,50753052466,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,52881797199,CEPALStat: 733,"CEPALStat: 6495,6432"
2009,53995378690,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,55355092970,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,56731643237,CEPALStat: 733,"CEPALStat: 6495,6432"
2012,58412651756,CEPALStat: 733,"CEPALStat: 6432,6495"
