year,value,source,notes
1990,15655313273,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,15810498868,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,17331247808,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,18458638745,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,18951898460,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,19967855422,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,21236781193,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,22757233371,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,23908690089,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,25524323349,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,26485486053,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,27141678445,CEPALStat: 733,"CEPALStat: 6495,6432"
2002,28636046088,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,28950523809,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,29124294477,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,30922688379,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,33574565302,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,35618862877,CEPALStat: 733,"CEPALStat: 6495,6432"
2008,37108381215,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,38046121200,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,40760895431,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,42358771675,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,43731663472,CEPALStat: 733,"CEPALStat: 6495,6432"
