year,value,source,notes
1990,-535608228,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,-434873881,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,-160675790,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,28608983,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,338075251,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,574184226,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,629638982,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,447565683,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,335204906,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,441887675,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,479792514,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,608581431,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,685943236,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,1032529966,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,1144949640,CEPALStat: 733,"CEPALStat: 6495,6432"
2005,1227037600,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,1530260331,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,1665430070,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,1578201105,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,1265806617,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,1122228758,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,1265168591,CEPALStat: 733,"CEPALStat: 6495,6432"
2012,1221067347,CEPALStat: 733,"CEPALStat: 6432,6495"
