year,value,source,notes
1990,1513409599,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,1561540048,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,1552498136,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,1444379796,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,1388420501,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,1428020395,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,1438338292,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,1466002034,CEPALStat: 733,"CEPALStat: 6495,6432"
1998,1499380894,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,1458656282,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,1551219512,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,1635333740,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,1649939684,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,1794020196,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,1938265952,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,2081209417,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,-2096591810,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,-1982640153,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,-1887754335,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,-1790942299,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,-1688591544,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,-1568072604,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,-1441097610,CEPALStat: 733,"CEPALStat: 6432,6495"
