year,value,source,notes
1990,6773433841,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,6929510364,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,6787362818,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,6658150393,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,6957543307,CEPALStat: 733,"CEPALStat: 6495,6432"
1995,7179490031,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,7666705043,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,8148906286,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,8746288099,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,9629598384,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,10334307459,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,10759637673,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,11649595007,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,13598498037,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,14574676705,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,15429109334,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,17700088092,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,18362546651,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,18999388205,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,18308841733,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,18345711623,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,18100637678,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,18144235769,CEPALStat: 733,"CEPALStat: 6432,6495"
