year,value,source,notes
1990,91710020,Economic Commission for Latin America and the Caribbean,
1991,93487470,Economic Commission for Latin America and the Caribbean,
1992,93487470,Economic Commission for Latin America and the Caribbean,
1993,96849635,Economic Commission for Latin America and the Caribbean,
1994,100725762,Economic Commission for Latin America and the Caribbean,
1995,105265756,Economic Commission for Latin America and the Caribbean,
1996,108424479,Economic Commission for Latin America and the Caribbean,
1997,112761029,Economic Commission for Latin America and the Caribbean,
1998,117836400,Economic Commission for Latin America and the Caribbean,
1999,123136629,Economic Commission for Latin America and the Caribbean,
2000,128436858,Economic Commission for Latin America and the Caribbean,
2001,129854710,Economic Commission for Latin America and the Caribbean,
2002,128649837,Economic Commission for Latin America and the Caribbean,
2003,127953609,Economic Commission for Latin America and the Caribbean,
2004,131334715,Economic Commission for Latin America and the Caribbean,
2005,144348680,Economic Commission for Latin America and the Caribbean,
2006,158163108,Economic Commission for Latin America and the Caribbean,
2007,181428065,Economic Commission for Latin America and the Caribbean,
2008,190360965,Economic Commission for Latin America and the Caribbean,
2009,139644612,Economic Commission for Latin America and the Caribbean,
2010,129561877,Economic Commission for Latin America and the Caribbean,
2011,119344374,Economic Commission for Latin America and the Caribbean,
2012,127402153,Economic Commission for Latin America and the Caribbean,
