year,value,source,note
1992,92116888,Economic Commission for Latin America and the Caribbean,
1993,95969879,Economic Commission for Latin America and the Caribbean,
1994,94043383,Economic Commission for Latin America and the Caribbean,
1995,93688503,Economic Commission for Latin America and the Caribbean,
1996,98606135,Economic Commission for Latin America and the Caribbean,
1997,105348868,Economic Commission for Latin America and the Caribbean,
1998,112801363,Economic Commission for Latin America and the Caribbean,
1999,122433839,Economic Commission for Latin America and the Caribbean,
2000,137237434,Economic Commission for Latin America and the Caribbean,
2001,147376882,Economic Commission for Latin America and the Caribbean,
2002,153308459,Economic Commission for Latin America and the Caribbean,
2003,155437744,Economic Commission for Latin America and the Caribbean,
2004,155437744,Economic Commission for Latin America and the Caribbean,
2005,163600000,Economic Commission for Latin America and the Caribbean,
2006,165678586,Economic Commission for Latin America and the Caribbean,
2007,168720421,Economic Commission for Latin America and the Caribbean,
2008,175970127,Economic Commission for Latin America and the Caribbean,
2009,164208366,Economic Commission for Latin America and the Caribbean,
2010,181323840,Economic Commission for Latin America and the Caribbean,
2011,193614363,Economic Commission for Latin America and the Caribbean,
2012,203825141,Economic Commission for Latin America and the Caribbean,
