year,value,source,note
1990,301043955,Economic Commission for Latin America and the Caribbean,
1991,282305326,Economic Commission for Latin America and the Caribbean,
1992,259889022,Economic Commission for Latin America and the Caribbean,
1993,266193608,Economic Commission for Latin America and the Caribbean,
1994,282130199,Economic Commission for Latin America and the Caribbean,
1995,282830708,Economic Commission for Latin America and the Caribbean,
1996,292112459,Economic Commission for Latin America and the Caribbean,
1997,317505928,Economic Commission for Latin America and the Caribbean,
1998,356209078,Economic Commission for Latin America and the Caribbean,
1999,327663316,Economic Commission for Latin America and the Caribbean,
2000,332041500,Economic Commission for Latin America and the Caribbean,
2001,321533858,Economic Commission for Latin America and the Caribbean,
2002,325386660,Economic Commission for Latin America and the Caribbean,
2003,338521213,Economic Commission for Latin America and the Caribbean,
2004,359186243,Economic Commission for Latin America and the Caribbean,
2005,378100000,Economic Commission for Latin America and the Caribbean,
2006,404369106,Economic Commission for Latin America and the Caribbean,
2007,430813339,Economic Commission for Latin America and the Caribbean,
2008,427310792,Economic Commission for Latin America and the Caribbean,
2009,407171144,Economic Commission for Latin America and the Caribbean,
2010,416628022,Economic Commission for Latin America and the Caribbean,
2011,416803149,Economic Commission for Latin America and the Caribbean,
2012,418729550,Economic Commission for Latin America and the Caribbean,
