year,value,source,note
2002,7282600581,Economic Commission for Latin America and the Caribbean,
2003,7526750586,Economic Commission for Latin America and the Caribbean,
2004,7527114743,Economic Commission for Latin America and the Caribbean,
2005,7890700000,Economic Commission for Latin America and the Caribbean,
2006,10205494720,Economic Commission for Latin America and the Caribbean,
2007,10175744862,Economic Commission for Latin America and the Caribbean,
2008,9834150644,Economic Commission for Latin America and the Caribbean,
2009,9846497423,Economic Commission for Latin America and the Caribbean,
2010,10038989586,Economic Commission for Latin America and the Caribbean,
2011,10587421749,Economic Commission for Latin America and the Caribbean,
2012,11267200121,Economic Commission for Latin America and the Caribbean,
