year,value,source,note
2000,37355651,Economic Commission for Latin America and the Caribbean,
2001,36429303,Economic Commission for Latin America and the Caribbean,
2002,35554025,Economic Commission for Latin America and the Caribbean,
2003,36416263,Economic Commission for Latin America and the Caribbean,
2004,38954682,Economic Commission for Latin America and the Caribbean,
2005,37264341,Economic Commission for Latin America and the Caribbean,
2006,35435518,Economic Commission for Latin America and the Caribbean,
2007,41449681,Economic Commission for Latin America and the Caribbean,
2008,47777802,Economic Commission for Latin America and the Caribbean,
2009,50033650,Economic Commission for Latin America and the Caribbean,
2010,50053399,Economic Commission for Latin America and the Caribbean,
2011,53654397,Economic Commission for Latin America and the Caribbean,
2012,50518708,Economic Commission for Latin America and the Caribbean,
