year,value,source,notes
1990,33418939,Economic Commission for Latin America and the Caribbean,
1991,33961222,Economic Commission for Latin America and the Caribbean,
1992,34640566,Economic Commission for Latin America and the Caribbean,
1993,35313951,Economic Commission for Latin America and the Caribbean,
1994,36136314,Economic Commission for Latin America and the Caribbean,
1995,37220880,Economic Commission for Latin America and the Caribbean,
1996,38709715,Economic Commission for Latin America and the Caribbean,
1997,40182580,Economic Commission for Latin America and the Caribbean,
1998,42429181,Economic Commission for Latin America and the Caribbean,
1999,44741333,Economic Commission for Latin America and the Caribbean,
2000,46529080,Economic Commission for Latin America and the Caribbean,
2001,45665142,Economic Commission for Latin America and the Caribbean,
2002,47664169,Economic Commission for Latin America and the Caribbean,
2003,42502525,Economic Commission for Latin America and the Caribbean,
2004,43144022,Economic Commission for Latin America and the Caribbean,
2005,51501477,Economic Commission for Latin America and the Caribbean,
2006,55013505,Economic Commission for Latin America and the Caribbean,
2007,56946709,Economic Commission for Latin America and the Caribbean,
2008,56955341,Economic Commission for Latin America and the Caribbean,
2009,47385973,Economic Commission for Latin America and the Caribbean,
2010,47210695,Economic Commission for Latin America and the Caribbean,
2011,47606704,Economic Commission for Latin America and the Caribbean,
2012,47918141,Economic Commission for Latin America and the Caribbean,
