year,value,source,note
2000,38057337,Economic Commission for Latin America and the Caribbean,
2001,35563694,Economic Commission for Latin America and the Caribbean,
2002,35848488,Economic Commission for Latin America and the Caribbean,
2003,35510574,Economic Commission for Latin America and the Caribbean,
2004,37016648,Economic Commission for Latin America and the Caribbean,
2005,38588578,Economic Commission for Latin America and the Caribbean,
2006,38509779,Economic Commission for Latin America and the Caribbean,
2007,37303172,Economic Commission for Latin America and the Caribbean,
2008,41411449,Economic Commission for Latin America and the Caribbean,
2009,38886124,Economic Commission for Latin America and the Caribbean,
2010,38664356,Economic Commission for Latin America and the Caribbean,
2011,35283664,Economic Commission for Latin America and the Caribbean,
2012,36614956,Economic Commission for Latin America and the Caribbean,
