year,value,source,notes
2000,56991418,Economic Commission for Latin America and the Caribbean,
2001,51589497,Economic Commission for Latin America and the Caribbean,
2002,52088850,Economic Commission for Latin America and the Caribbean,
2003,60255730,Economic Commission for Latin America and the Caribbean,
2004,61445292,Economic Commission for Latin America and the Caribbean,
2005,71859259,Economic Commission for Latin America and the Caribbean,
2006,82237066,Economic Commission for Latin America and the Caribbean,
2007,84752688,Economic Commission for Latin America and the Caribbean,
2008,85575954,Economic Commission for Latin America and the Caribbean,
2009,72245364,Economic Commission for Latin America and the Caribbean,
2010,70230352,Economic Commission for Latin America and the Caribbean,
2011,84126015,Economic Commission for Latin America and the Caribbean,
2012,76614117,Economic Commission for Latin America and the Caribbean,
