year,value,source,notes
1997,632065505,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,662895994,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,691247851,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,728076782,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,732094795,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,745971135,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,718894793,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,767602488,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,825133999,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,836044935,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,818204879,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,793751010,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,781833190,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,729862883,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,687534665,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,682497384,CEPALStat: 733,"CEPALStat: 6432,6495"
