year,value,source,notes
1992,92116888,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,95969879,CEPALStat: 733,"CEPALStat: 6495,6432"
1994,94043383,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,93688503,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,98606135,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,105348868,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,112801363,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,122433839,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,137237434,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,147376882,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,153308459,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,155437744,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,155437744,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,163600000,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,165678586,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,168720421,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,175970127,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,164208366,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,181323840,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,193614363,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,203825141,CEPALStat: 733,"CEPALStat: 6432,6495"
