year,value,source,notes
2002,7282600581,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,7526750586,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,7527114743,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,7890700000,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,10205494720,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,10175744862,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,9834150644,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,9846497423,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,10038989586,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,10587421749,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,11267200121,CEPALStat: 733,"CEPALStat: 6432,6495"
