year,value,source,notes
1990,1563768382,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,1595125551,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,1801988350,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,1945392448,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,1998069452,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,2146462284,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,-2001607544,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,-1830859657,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,-1700675075,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,-1512673961,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,-1470552463,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,-1488647617,CEPALStat: 733,"CEPALStat: 6495,6432"
2002,-1329498222,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,-1709232575,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,-1835948919,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,-1448222540,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,-1127900610,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,-688665871,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,-507437874,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,-613520717,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,-111719468,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,67058143,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,240356944,CEPALStat: 733,"CEPALStat: 6432,6495"
