year,value,source,notes
1990,26235605,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,28356782,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,30665718,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,33583605,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,36268060,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,38764756,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,39586839,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,42976662,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,47274835,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,51060476,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,54978056,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,57061901,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,59070358,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,63663846,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,69164172,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,72533333,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,76133746,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,82997760,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,86212742,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,79200912,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,78491381,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,75100511,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,76249723,CEPALStat: 733,"CEPALStat: 6432,6495"
