year,value,source,note
1990,187705913,Economic Commission for Latin America and the Caribbean,
1991,189026185,Economic Commission for Latin America and the Caribbean,
1992,195924823,Economic Commission for Latin America and the Caribbean,
1993,218745413,Economic Commission for Latin America and the Caribbean,
1994,241225006,Economic Commission for Latin America and the Caribbean,
1995,211374625,Economic Commission for Latin America and the Caribbean,
1996,220957524,Economic Commission for Latin America and the Caribbean,
1997,232061796,Economic Commission for Latin America and the Caribbean,
1998,233076044,Economic Commission for Latin America and the Caribbean,
1999,241093853,Economic Commission for Latin America and the Caribbean,
2000,244110368,Economic Commission for Latin America and the Caribbean,
2001,239125328,Economic Commission for Latin America and the Caribbean,
2002,240291069,Economic Commission for Latin America and the Caribbean,
2003,250111146,Economic Commission for Latin America and the Caribbean,
2004,256601856,Economic Commission for Latin America and the Caribbean,
2005,269799772,Economic Commission for Latin America and the Caribbean,
2006,285653077,Economic Commission for Latin America and the Caribbean,
2007,315732345,Economic Commission for Latin America and the Caribbean,
2008,327797070,Economic Commission for Latin America and the Caribbean,
2009,265885168,Economic Commission for Latin America and the Caribbean,
2010,254343109,Economic Commission for Latin America and the Caribbean,
2011,249522456,Economic Commission for Latin America and the Caribbean,
2012,260488146,Economic Commission for Latin America and the Caribbean,
