year,value,source,note
1990,737394211,Economic Commission for Latin America and the Caribbean,
1991,694018081,Economic Commission for Latin America and the Caribbean,
1992,656408719,Economic Commission for Latin America and the Caribbean,
1993,676717774,Economic Commission for Latin America and the Caribbean,
1994,727365048,Economic Commission for Latin America and the Caribbean,
1995,731627442,Economic Commission for Latin America and the Caribbean,
1996,750432123,Economic Commission for Latin America and the Caribbean,
1997,793306794,Economic Commission for Latin America and the Caribbean,
1998,870029892,Economic Commission for Latin America and the Caribbean,
1999,829913240,Economic Commission for Latin America and the Caribbean,
2000,869528433,Economic Commission for Latin America and the Caribbean,
2001,831166885,Economic Commission for Latin America and the Caribbean,
2002,826403032,Economic Commission for Latin America and the Caribbean,
2003,870531350,Economic Commission for Latin America and the Caribbean,
2004,850723753,Economic Commission for Latin America and the Caribbean,
2005,859750000,Economic Commission for Latin America and the Caribbean,
2006,955027048,Economic Commission for Latin America and the Caribbean,
2007,944496427,Economic Commission for Latin America and the Caribbean,
2008,941236949,Economic Commission for Latin America and the Caribbean,
2009,901120297,Economic Commission for Latin America and the Caribbean,
2010,925942475,Economic Commission for Latin America and the Caribbean,
2011,925691746,Economic Commission for Latin America and the Caribbean,
2012,916164041,Economic Commission for Latin America and the Caribbean,
