year,value,source,note
1990,11349257842,Economic Commission for Latin America and the Caribbean,
1991,10107950727,Economic Commission for Latin America and the Caribbean,
1992,9311987544,Economic Commission for Latin America and the Caribbean,
1993,6751202465,Economic Commission for Latin America and the Caribbean,
1994,6748443493,Economic Commission for Latin America and the Caribbean,
1995,6862480969,Economic Commission for Latin America and the Caribbean,
1996,7474052912,Economic Commission for Latin America and the Caribbean,
1997,7461889902,Economic Commission for Latin America and the Caribbean,
1998,7894027626,Economic Commission for Latin America and the Caribbean,
1999,7949228981,Economic Commission for Latin America and the Caribbean,
2000,8549777617,Economic Commission for Latin America and the Caribbean,
2001,8927298746,Economic Commission for Latin America and the Caribbean,
2002,9063781757,Economic Commission for Latin America and the Caribbean,
2003,9532410102,Economic Commission for Latin America and the Caribbean,
2004,9608083923,Economic Commission for Latin America and the Caribbean,
2005,10061900000,Economic Commission for Latin America and the Caribbean,
2006,12343935137,Economic Commission for Latin America and the Caribbean,
2007,12421006520,Economic Commission for Latin America and the Caribbean,
2008,12315632747,Economic Commission for Latin America and the Caribbean,
2009,12583452879,Economic Commission for Latin America and the Caribbean,
2010,12976879483,Economic Commission for Latin America and the Caribbean,
2011,13793438506,Economic Commission for Latin America and the Caribbean,
2012,14471526333,Economic Commission for Latin America and the Caribbean,
