year,value,source,note
1990,28977918,Economic Commission for Latin America and the Caribbean,
1991,30405988,Economic Commission for Latin America and the Caribbean,
1992,31203327,Economic Commission for Latin America and the Caribbean,
1993,32922962,Economic Commission for Latin America and the Caribbean,
1994,35933809,Economic Commission for Latin America and the Caribbean,
1995,37082215,Economic Commission for Latin America and the Caribbean,
1996,38064013,Economic Commission for Latin America and the Caribbean,
1997,38980358,Economic Commission for Latin America and the Caribbean,
1998,39539686,Economic Commission for Latin America and the Caribbean,
1999,40628589,Economic Commission for Latin America and the Caribbean,
2000,41741293,Economic Commission for Latin America and the Caribbean,
2001,41450831,Economic Commission for Latin America and the Caribbean,
2002,41342401,Economic Commission for Latin America and the Caribbean,
2003,41814167,Economic Commission for Latin America and the Caribbean,
2004,44631723,Economic Commission for Latin America and the Caribbean,
2005,42812005,Economic Commission for Latin America and the Caribbean,
2006,41546250,Economic Commission for Latin America and the Caribbean,
2007,47494159,Economic Commission for Latin America and the Caribbean,
2008,53853398,Economic Commission for Latin America and the Caribbean,
2009,55814672,Economic Commission for Latin America and the Caribbean,
2010,55867432,Economic Commission for Latin America and the Caribbean,
2011,59954148,Economic Commission for Latin America and the Caribbean,
2012,56745455,Economic Commission for Latin America and the Caribbean,
