year,value,source,note
1990,47533291,Economic Commission for Latin America and the Caribbean,
1991,49496352,Economic Commission for Latin America and the Caribbean,
1992,53110425,Economic Commission for Latin America and the Caribbean,
1993,54205427,Economic Commission for Latin America and the Caribbean,
1994,60236447,Economic Commission for Latin America and the Caribbean,
1995,59913053,Economic Commission for Latin America and the Caribbean,
1996,62300724,Economic Commission for Latin America and the Caribbean,
1997,63623577,Economic Commission for Latin America and the Caribbean,
1998,66284488,Economic Commission for Latin America and the Caribbean,
1999,71379367,Economic Commission for Latin America and the Caribbean,
2000,73904113,Economic Commission for Latin America and the Caribbean,
2001,71297445,Economic Commission for Latin America and the Caribbean,
2002,74741384,Economic Commission for Latin America and the Caribbean,
2003,72937262,Economic Commission for Latin America and the Caribbean,
2004,68400706,Economic Commission for Latin America and the Caribbean,
2005,66355824,Economic Commission for Latin America and the Caribbean,
2006,81456587,Economic Commission for Latin America and the Caribbean,
2007,84002726,Economic Commission for Latin America and the Caribbean,
2008,84878515,Economic Commission for Latin America and the Caribbean,
2009,71988020,Economic Commission for Latin America and the Caribbean,
2010,68224514,Economic Commission for Latin America and the Caribbean,
2011,71782475,Economic Commission for Latin America and the Caribbean,
2012,73611767,Economic Commission for Latin America and the Caribbean,
