year,value,source,notes
1990,82997211,Economic Commission for Latin America and the Caribbean,
1991,87045855,Economic Commission for Latin America and the Caribbean,
1992,91383689,Economic Commission for Latin America and the Caribbean,
1993,97745844,Economic Commission for Latin America and the Caribbean,
1994,103529622,Economic Commission for Latin America and the Caribbean,
1995,108735022,Economic Commission for Latin America and the Caribbean,
1996,114229611,Economic Commission for Latin America and the Caribbean,
1997,120591767,Economic Commission for Latin America and the Caribbean,
1998,126953922,Economic Commission for Latin America and the Caribbean,
1999,116832311,Economic Commission for Latin America and the Caribbean,
2000,122905278,Economic Commission for Latin America and the Caribbean,
2001,123483655,Economic Commission for Latin America and the Caribbean,
2002,122326900,Economic Commission for Latin America and the Caribbean,
2003,119145822,Economic Commission for Latin America and the Caribbean,
2004,121459333,Economic Commission for Latin America and the Caribbean,
2005,139678233,Economic Commission for Latin America and the Caribbean,
2006,153848489,Economic Commission for Latin America and the Caribbean,
2007,167198402,Economic Commission for Latin America and the Caribbean,
2008,174668969,Economic Commission for Latin America and the Caribbean,
2009,191744550,Economic Commission for Latin America and the Caribbean,
2010,212641947,Economic Commission for Latin America and the Caribbean,
2011,222295034,Economic Commission for Latin America and the Caribbean,
2012,237250590,Economic Commission for Latin America and the Caribbean,
