key,value
name,"Jamaica - Wholesale and retail trade, repair of goods, and hotels and restaurants [CEPALStat]"
originalsource,Economic Commission for Latin America and the Caribbean
proximatesource,CEPALStat
dataset,"Wholesale and retail trade, repair of goods, and hotels and restaurants [2216]"
description,"Sectoral GDP: Wholesale and retail trade, repair of goods, and hotels and restaurants"
category,Economic
type,GDP
file,gdp-sec--wrtrghr_jam_cepalstat.csv
filehash,d65bac45290024dd115ca97531163eec16afbfd0
columns,"year,value,source,notes"
