year,value,source,note
1990,45231936,Economic Commission for Latin America and the Caribbean,
1991,48119816,Economic Commission for Latin America and the Caribbean,
1992,50298697,Economic Commission for Latin America and the Caribbean,
1993,52321942,Economic Commission for Latin America and the Caribbean,
1994,57065906,Economic Commission for Latin America and the Caribbean,
1995,54677008,Economic Commission for Latin America and the Caribbean,
1996,58451579,Economic Commission for Latin America and the Caribbean,
1997,61648471,Economic Commission for Latin America and the Caribbean,
1998,63838880,Economic Commission for Latin America and the Caribbean,
1999,62882017,Economic Commission for Latin America and the Caribbean,
2000,57250362,Economic Commission for Latin America and the Caribbean,
2001,55666465,Economic Commission for Latin America and the Caribbean,
2002,55208805,Economic Commission for Latin America and the Caribbean,
2003,61062376,Economic Commission for Latin America and the Caribbean,
2004,70279198,Economic Commission for Latin America and the Caribbean,
2005,78367599,Economic Commission for Latin America and the Caribbean,
2006,77891787,Economic Commission for Latin America and the Caribbean,
2007,72093190,Economic Commission for Latin America and the Caribbean,
2008,77405744,Economic Commission for Latin America and the Caribbean,
2009,65023326,Economic Commission for Latin America and the Caribbean,
2010,66267684,Economic Commission for Latin America and the Caribbean,
2011,63922461,Economic Commission for Latin America and the Caribbean,
2012,65937856,Economic Commission for Latin America and the Caribbean,
