year,value,source,notes
1990,187705913,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,189026185,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,195924823,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,218745413,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,241225006,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,211374625,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,220957524,CEPALStat: 733,"CEPALStat: 6495,6432"
1997,232061796,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,233076044,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,241093853,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,244110368,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,239125328,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,240291069,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,250111146,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,256601856,CEPALStat: 733,"CEPALStat: 6495,6432"
2005,269799772,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,285653077,CEPALStat: 733,"CEPALStat: 6495,6432"
2007,315732345,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,327797070,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,265885168,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,254343109,CEPALStat: 733,"CEPALStat: 6495,6432"
2011,249522456,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,260488146,CEPALStat: 733,"CEPALStat: 6432,6495"
