year,value,source,notes
1990,1862437173,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,1884036406,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,1996977074,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,2057012778,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,2069760831,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,-2135132901,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,-2102048244,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,-2073130097,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,-2081812622,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,-2077603792,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,-2031611820,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,-2042610190,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,-2034119516,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,-1984956761,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,-1938223668,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,-1890622130,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,-1799693276,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,-1770492000,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,-1768767861,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,-1831800230,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,-1887746951,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,-1870460047,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,-1890835206,CEPALStat: 733,"CEPALStat: 6495,6432"
