year,value,source,notes
1990,110906821,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,114852459,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,122176241,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,116608558,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,121009977,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,118096550,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,122368384,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,130545640,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,132735178,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,137516415,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,134795132,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,122257357,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,122162932,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,140760015,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,146616697,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,161174304,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,169293265,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,172288160,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,170188927,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,156412775,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,160644228,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,172337033,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,167392435,CEPALStat: 733,"CEPALStat: 6432,6495"
