key,value
name,Antigua and Barbuda - Death rate associated with tuberculosis [CEPALStat]
originalsource,United Nations Statistics Division: Millennium Indicators Database
proximatesource,CEPALStat
dataset,Death rate associated with tuberculosis [357]
description,Proportion of registered deaths caused by tuberculosis in total population during the period of one year
category,Social
type,Health
file,tb-death-rate_atg_cepalstat.csv
filehash,86cd992bd8e6d568061343bac61ff280eb0158e4
columns,"year,value,source,notes"
