key,value
name,Belize - Death rate associated with tuberculosis [CEPALStat]
originalsource,United Nations Statistics Division: Millennium Indicators Database
proximatesource,CEPALStat
dataset,Death rate associated with tuberculosis [357]
description,Proportion of registered deaths caused by tuberculosis in total population during the period of one year
category,Social
type,Health
file,tb-death-rate_blz_cepalstat.csv
filehash,578e4d8a47bffd745577caed9e704d2e7ca425a9
columns,"year,value,source,notes"
