key,value
name,Dominican Republic - Death rate associated with tuberculosis [CEPALStat]
originalsource,United Nations Statistics Division: Millennium Indicators Database
proximatesource,CEPALStat
dataset,Death rate associated with tuberculosis [357]
description,Proportion of registered deaths caused by tuberculosis in total population during the period of one year
category,Social
type,Health
file,tb-death-rate_dom_cepalstat.csv
filehash,b3d018fe57becb9938c7136138b0a9bfa6499161
columns,"year,value,source,notes"
