key,value
name,Grenada - Death rate associated with tuberculosis [CEPALStat]
originalsource,United Nations Statistics Division: Millennium Indicators Database
proximatesource,CEPALStat
dataset,Death rate associated with tuberculosis [357]
description,Proportion of registered deaths caused by tuberculosis in total population during the period of one year
category,Social
type,Health
file,tb-death-rate_grd_cepalstat.csv
filehash,9774ceb199af7bfd5a89c871344f57210b2858ff
columns,"year,value,source,notes"
