key,value
name,Guyana - Death rate associated with tuberculosis [CEPALStat]
originalsource,United Nations Statistics Division: Millennium Indicators Database
proximatesource,CEPALStat
dataset,Death rate associated with tuberculosis [357]
description,Proportion of registered deaths caused by tuberculosis in total population during the period of one year
category,Social
type,Health
file,tb-death-rate_guy_cepalstat.csv
filehash,5cad653dde28511d07dad81ae98dfbc826de8f1e
columns,"year,value,source,notes"
