key,value
name,Haiti - Death rate associated with tuberculosis [CEPALStat]
originalsource,United Nations Statistics Division: Millennium Indicators Database
proximatesource,CEPALStat
dataset,Death rate associated with tuberculosis [357]
description,Proportion of registered deaths caused by tuberculosis in total population during the period of one year
category,Social
type,Health
file,tb-death-rate_hti_cepalstat.csv
filehash,4080b31801586528e4b9ba8e80c170e0a170ee00
columns,"year,value,source,notes"
