key,value
name,Saint Kitts and Nevis - Death rate associated with tuberculosis [CEPALStat]
originalsource,United Nations Statistics Division: Millennium Indicators Database
proximatesource,CEPALStat
dataset,Death rate associated with tuberculosis [357]
description,Proportion of registered deaths caused by tuberculosis in total population during the period of one year
category,Social
type,Health
file,tb-death-rate_kna_cepalstat.csv
filehash,61d9a22cfc4b78d84ce5a8c75064bc7db667de2a
columns,"year,value,source,notes"
